ins,i30,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ihex,ssel1,ssel0,lsel2,lsel1,lsel0,wbsel,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
add,0,0,0,0,0,1,1,0,0,000001100,C,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,000001000010000
sub,1,0,0,0,0,1,1,0,0,100001100,10C,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,000001100010000
or,0,1,1,0,0,1,1,0,0,011001100,CC,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,000001011010000
and,0,1,1,1,0,1,1,0,0,011101100,EC,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,000001011110000
sll,0,0,0,1,0,1,1,0,0,000101100,2C,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,000001000110000
srl,0,1,0,1,0,1,1,0,0,010101100,AC,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,000001010110000
sra,1,1,0,1,0,1,1,0,0,110101100,1AC,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,000001110110000
slt,0,0,1,0,0,1,1,0,0,001001100,4C,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,000001001010000
sltu,0,0,1,1,0,1,1,0,0,001101100,6C,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,000001001110000
xor,0,1,0,0,0,1,1,0,0,010001100,8C,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,000001010010000
addi,0,0,0,0,0,0,1,0,0,000000100,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,000001000010001
xori,0,1,0,0,0,0,1,0,0,010000100,84,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,000001010010001
ori,0,1,1,0,0,0,1,0,0,011000100,C4,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,000001011010001
andi,0,1,1,1,0,0,1,0,0,011100100,E4,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,000001011110001
slli,0,0,0,1,0,0,1,0,0,000100100,24,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,000001000110001
srli,0,1,0,1,0,0,1,0,0,010100100,A4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,000001010110001
srai,1,1,0,1,0,0,1,0,0,110100100,1A4,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,000001110110001
slti,0,0,1,0,0,0,1,0,0,001000100,44,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,000001001010001
sltiu,0,0,1,1,0,0,1,0,0,001100100,64,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,000001001110001
lb,0,0,0,0,0,0,0,0,0,000000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,000000000010001
lh,0,0,0,1,0,0,0,0,0,000100000,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,000010000010001
lw,0,0,1,0,0,0,0,0,0,001000000,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,000100000010001
lbu,0,1,0,0,0,0,0,0,0,010000000,80,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,001000000010001
lhu,0,1,0,1,0,0,0,0,0,010100000,A0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,001010000010001
sb,0,0,0,0,0,1,0,0,0,000001000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,010000000000011
sh,0,0,0,1,0,1,0,0,0,000101000,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100000000000011
sw,0,0,1,0,0,1,0,0,0,001001000,48,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,110000000000011
